subpopbroad,subpopfine,country,subpopulation,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89731,2012,spring,y,6,6,2852979,2853,3461631,3462,0.8242,7.66E+11,766168919,3.5526,0.0019,0.2417,2/22/12 1:00,3/13/12 1:00,20,53,73,-8.5435,15.75533,40.81017,-1.8835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiddleEast,Igdir,Turkey,Middle_East,East,Agri,2013,fall,y,6,6,4493695,4494,5296549,5297,0.8484,1.88E+12,1876572756,4.4912,0.0068,1.4647,11/09/2013 00:00,9/27/13 23:00,16.9583,254,270,42.97667,39.744,9.47717,45.497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiddleEast,Igdir,Turkey,Middle_East,East,Agri,2014,spring,y,6,6,4560509,4561,6251533,6252,0.7295,2.09E+12,2086040029,3.2446,0.0044,1.8169,3/21/14 0:00,07/04/2014 23:00,17.9583,80,97,45.445,9.3735,40.07783,43.67017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captive,Captive,Bulgaria,Balkans,East,Akaga,2018,fall,y,2,2,4353076,4353,7324430,7324,0.5943,2.10E+12,2099910210,4.1732,0.0098,1.787,8/25/18 0:00,9/21/18 23:00,27.9583,237,264,25.63801,41.59799,12.03957,41.64042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Israel,Israel,Middle_East,East,Amud,2018,fall,y,1,1,2993095,2993,6045260,6045,0.4951,2.81E+11,280712051,9.5275,0.0107,1.9144,9/18/18 5:00,11/13/18 18:00,56.5417,261,317,35.56094,32.93507,11.05152,27.21755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2015,fall,y,6,6,3194897,3195,7232630,7233,0.4417,2.37E+12,2366104429,3.4363,0.0058,1.9013,04/09/2015 00:00,01/10/2015 22:00,27.9167,247,274,20.53867,40.1335,13.0345,16.449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2016,fall,y,6,6,3202528,3203,6273891,6274,0.5105,1.70E+12,1695011640,3.0334,0.006,1.5511,9/21/16 0:00,09/10/2016 22:00,18.9167,265,283,20.53683,40.1325,12.98217,16.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2016,spring,y,6,6,3558359,3558,7339760,7340,0.4848,1.79E+12,1791999862,3.8182,0.0072,1.4648,3/16/16 5:00,4/18/16 13:00,33.3333,76,109,15.53517,12.78,41.20667,26.85417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2017,fall,y,6,6,3194934,3195,6446228,6446,0.4956,2.24E+12,2243788470,3.1727,0.0058,1.808,9/13/17 10:00,04/10/2017 22:00,21.5,256,277,20.53817,40.13367,13.03467,16.438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2017,spring,y,6,6,3193135,3193,8619325,8619,0.3705,1.88E+12,1875578219,3.9862,0.0064,2.0437,08/03/2017 03:00,4/13/17 18:00,36.625,67,103,15.70918,12.8146,39.91236,20.24532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2018,fall,y,6,6,3063019,3063,6381477,6381,0.48,1.57E+12,1566725215,3.1933,0.0058,2.0895,8/13/18 16:00,04/09/2018 22:00,22.25,225,247,21.60083,41.15783,15.2755,19.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Aoos,2018,spring,y,6,6,3218787,3219,7317031,7317,0.4399,1.85E+12,1849893545,3.5787,0.0061,1.7699,04/03/2018 05:00,05/04/2018 06:00,32.0417,63,95,15.788,12.856,40.11728,20.59574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiddleEast,Igdir,Turkey,Middle_East,East,Aras,2012,fall,y,2,2,3853779,3854,5088693,5089,0.7573,1.34E+12,1335246291,3.5198,0.0052,1.4595,04/09/2012 00:00,9/23/12 22:00,19.9167,248,267,43.68417,40.06133,13.45317,43.60433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgaria,Bulgaria,Balkans,East,Arda,2012,fall,y,1,1,3464250,3464,6073639,6074,0.5704,1.20E+12,1197481479,3.7239,0.0065,1.7257,9/20/12 5:00,10/14/12 23:00,24.75,264,288,25.881,41.64133,13.3125,25.94167
