ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
Gurman_2017_fall,4058367.29373653,4674665.73634038,0.868162029679939,1328313701414.39,3.95105835406963,8.44695188126908e-05,3.92939152188563e-07,2017-09-24 06:00:00,2017-10-19 05:00:00,25,267,292
H36_2018_fall,2635334.10708298,3607436.58830219,0.730528186033418,795107291057.266,4.16333452507547,0.000242621684258243,8.44699769668141e-07,2018-08-29 06:00:00,2018-09-22 10:00:00,24,241,265
Haydi_2014_fall,5452346.02588959,6574628.16112084,0.829301048252754,2680431504519.89,3.69445423039269,0.000177079684111231,2.74637438024522e-07,2014-09-19 05:00:00,2014-10-29 04:00:00,40,262,302
Haydi_2015_fall,5290371.94445239,6226497.6524878,0.849654531281902,2724729081218.74,3.55277904107039,0.000207705992075818,1.154502007194e-07,2015-09-20 07:00:00,2015-10-14 05:00:00,24,263,287
Haydi_2015_spring,4909993.54862121,6309934.25035633,0.778137038170237,2681341222950.34,3.23333244331027,0.000564518634356143,3.81579783532802e-07,2015-04-11 05:00:00,2015-05-12 05:00:00,31,101,132
Huebra_2017_fall,2688322.5542259,2925964.73574727,0.918781597529856,916165999226.57,3.6414677919497,0.000180118277758749,4.19300430796862e-08,2017-09-20,2017-10-06,16,263,279
Huebra_2018_fall,2691631.507511,2973297.90759746,0.905268019270206,838190671450.833,3.95054648925164,4.66102017982468e-05,1.98272820948565e-07,2018-09-26 06:00:00,2018-10-16 07:00:00,20,269,289
Huebra_2018_spring,2472288.68737166,3342380.43149133,0.739679021597357,689034390806.773,3.07272828862177,0.000375589863826954,4.54162209917887e-08,2018-02-09 06:00:00,2018-02-26 06:00:00,17,40,57
Igdir_2012_fall,5062358.15443956,5358197.46200777,0.944787531690301,3083956106607.57,4.45608988025773,3.88461981830562e-05,2.77688969267798e-07,2012-09-20 00:00:00,2012-10-11 04:00:00,21,264,285
Igdir_2013_fall,4877099.21535179,5143767.76917339,0.948156960852754,2579741047317.85,4.82721519436703,0.000101025929909656,2.66921506461542e-09,2013-09-25 00:00:00,2013-10-13 04:00:00,18,268,286
Igdir_2013_spring,5041229.20420615,5359912.07484143,0.940543265227963,2420754065043.8,4.38078368396906,2.73920390173261e-05,4.12055541319392e-08,2013-03-16 08:00:00,2013-04-03 09:00:00,18,75,93
Igdir_2014_fall,5008848.08533213,5519605.02368415,0.907464947915583,2880900371031.85,3.94502952857763,0.00093655889511214,2.25974317033917e-07,2014-10-06 07:00:00,2014-11-03 03:00:00,28,279,307
Igdir_2014_spring,4882856.70355746,5187314.40243298,0.941307259353178,2265538134841.18,4.75858283762351,7.55292281942777e-05,6.05539951171548e-09,2014-03-03 01:00:00,2014-03-22 06:00:00,19,62,81
Iliaz_2012_fall,3345846.00209712,4946587.82626763,0.676394743125723,1795061109406.27,3.12558058024772,0.000182444375490291,3.81020901793885e-07,2012-09-19 03:00:00,2012-10-16 06:00:00,27,263,290
Iliaz_2016_fall,3345225.83854991,7641697.63496062,0.437759513441826,2387481442460.66,3.60887169139033,0.000862230618058345,3.53677380181687e-07,2016-08-26 04:00:00,2016-10-17 05:00:00,52,239,291
Iliaz_2016_spring,3582281.18657843,7050427.40271683,0.508094188048518,1642413799846.92,3.60911170942407,0.00103784582661657,4.50596895068456e-07,2016-03-17 05:00:00,2016-05-09 07:00:00,53,77,130
Iliaz_2017_fall,3407423.95348408,5466698.24922238,0.623305658761899,1324249524524.3,3.041229847889,0.000438346694089396,4.58181821984683e-07,2017-09-01 05:00:00,2017-10-02 00:00:00,31,244,275
Iliaz_2017_spring,3859438.01430824,5523361.24758851,0.698748070478509,1701322834424.6,3.26685024303843,0.000757972079653656,2.65327833461251e-07,2017-04-06 02:00:00,2017-04-30 05:00:00,24,96,120
Iliaz_2018_fall,3398807.89814814,5404019.77608741,0.628940684708029,1828476558836.09,2.95405754206189,0.000672764776709266,2.93904877223553e-07,2018-08-27 05:00:00,2018-09-21 00:00:00,25,239,264
Iliaz_2018_spring,3856582.81039492,6529986.04342739,0.590595873367399,2210226326558.3,3.17871978709989,0.000766341932232692,2.44429305799844e-07,2018-03-16 05:00:00,2018-04-21 05:00:00,36,75,111
Iste_2014_fall,3996907.35541254,4361221.59159734,0.916465093888668,1913548144241.42,4.0204770865461,0.000538276005165436,1.25576541294473e-08,2014-09-19 05:00:00,2014-10-03 05:00:00,14,262,276
Iste_2015_fall,3947605.91570184,4041941.56856464,0.97666080737127,1757343354107.48,4.52981197707161,0.000935030126208282,2.46585266808235e-10,2015-09-17 05:00:00,2015-09-29 05:00:00,12,260,272
Iste_2015_spring,3874229.63592623,4357864.97543226,0.889020118284399,1682521145345.73,4.04780808015846,0.00139816684249866,2.7194038550331e-07,2015-04-14 07:00:00,2015-04-29 05:00:00,15,104,119
Iste_2016_fall,4235018.28887692,4582866.82590569,0.924098048177511,1991265591005.59,3.87861552897354,4.66026031707609e-05,7.05716567883075e-09,2016-09-25 05:00:00,2016-10-09 05:00:00,14,269,283
Iste_2016_spring,4092772.34458546,4642919.26667566,0.881508402259144,1892354978143.52,3.8296843118453,6.72470783663757e-05,1.87796664064443e-07,2016-03-22 04:00:00,2016-04-08 05:00:00,17,82,99
Iste_2017_fall,4248037.29355765,4602495.2649757,0.922985695582258,2166578424395.35,4.55710210525875,0.00108320643159051,1.95680608246055e-07,2017-09-24 05:00:00,2017-10-09 05:00:00,15,267,282
Iste_2017_spring,4020777.55389944,4350941.47914178,0.924116670650447,1540837649095.21,4.88577120725773,0.000772316562708181,5.10447709884262e-07,2017-03-13 05:00:00,2017-03-30 05:00:00,17,72,89
Iste_2018_fall,4004510.92632156,4236861.88161887,0.945159657834179,1686812360640.29,4.30894357637681,0.000377018080067586,4.70055575156448e-09,2018-09-16 05:00:00,2018-09-28 08:00:00,12,259,271
